Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
C9orf72	BICD2	ALG14	ALDH6A1
CA1	BIN1	ALG1L	ALDH7A1
CA12	BIRC5	ALG1L2	ALDH8A1
CA2	BIVM-ERCC5	ALG1L9P	ALDH9A1
CA4	BLK	ALG2	ALDOA
CA6	BLM	ALG3	ALDOB
CA8	BLMH	ALG5	ALDOC
CABIN1	BLNK	ALG6	ALG1
CABP4	BLOC1S1-RDH5	ALG8	ALG10
CACNA1A	BLOC1S3	ALG9	ALG10B
CACNA1C	BLOC1S6	ALK	ALG11
CACNA1D	BLVRA	ALKBH1	ALG12
CACNA1E	BMI1	ALKBH2	ALG13
CACNA1F	BMP1	ALKBH3	ALG14
CACNA1G	BMP10	ALKBH4	ALG1L
CACNA1H	BMP15	ALKBH5	ALG1L2
CACNA1S	BMP2	ALKBH6	ALG1L9P
CACNA2D1	BMP2K	ALKBH7	ALG2
CACNA2D3	BMP4	ALKBH8	ALG3
CACNA2D4	BMP5	ALLC	ALG5
CACNB2	BMP7	ALMS1	ALG6
CACNB4	BMPER	ALMS1P	ALG8
CACNG2	BMPR1A	ALOX12	ALG9
CADM1	BMPR1B	ALOX12B	ALK
CALCA	BMPR2	ALOX15	ALKBH1
CALCR	BNC2	ALOX15B	ALKBH2
CALHM1	BOLA3	ALOX15P1	ALKBH3
CALM1	BOLA3-AS1	ALOX5	ALKBH4
CALM3	BPGM	ALOX5AP	ALKBH5
CALR	BPI	ALOXE3	ALKBH6
CALR3	BPIFA1	ALPI	ALKBH7
CAMK4	BRAF	ALPK1	ALKBH8
CAMKK1	BRAP	ALPK2	ALLC
CAMKK2	BRAT1	ALPK3	ALMS1
CAMP	BRCA1	ALPL	ALMS1P
CAMTA1	BRCA2	ALPP	ALOX12
CANT1	BRCC3	ALPPL2	ALOX12-AS1
CAPN10	BRD1	ALS2	ALOX12B
CAPN13	BRIP1	ALS2CL	ALOX15
CAPN3	BRSK2	ALS2CR11	ALOX15B
CARD14	BRWD1	ALS2CR12	ALOX15P1
CARD8	BRWD3	ALX1	ALOX5
CARD9	BSCL2	ALX3	ALOX5AP
CARTPT	BSG	ALX4	ALOXE3
CASC16	BSND	ALYREF	ALPI
CASC5	BST1	AMACR	ALPK1
CASK	BTAF1	AMBN	ALPK2
CASP1	BTBD9	AMBP	ALPK3
CASP10	BTC	AMBRA1	ALPL
CASP12	BTD	AMD1	ALPP
CASP2	BTK	AMDHD1	ALPPL2
CASP3	BTLA	AMDHD2	ALS2
CASP5	BTN1A1	AMELX	ALS2CL
CASP8	BTN2A1	AMELY	ALS2CR11
CASP9	BTNL2	AMER1	ALS2CR12
CASQ2	BTRC	AMER2	ALX1
CASR	BUB1B	AMER3	ALX3
CAST	C10orf105	AMFR	ALX4
CAT	C10orf11	AMH	ALYREF
CATSPER1	C10orf2	AMHR2	AMACR
CATSPER2	C10orf32-ASMT	AMICA1	AMBN
CATSPER3	C10orf55	AMIGO1	AMBP
CATSPER4	C12orf10	AMIGO2	AMBRA1
CAV1	C12orf29	AMIGO3	AMD1
CAV3	C12orf57	AMMECR1	AMDHD1
CBFB	C12orf65	AMMECR1L	AMDHD2
CBL	C14orf142	AMN	AMELX
CBLB	C15orf65	AMN1	AMELY
CBR1	C16orf58	AMOT	AMER1
CBR3	C16orf93	AMOTL1	AMER2
CBS	C17orf107	AMOTL2	AMER3
CBX2	C18orf56	AMPD1	AMFR
CBX4	C19orf12	AMPD2	AMH
CC2D1A	C1GALT1	AMPD3	AMHR2
CC2D2A	C1GALT1C1	AMPH	AMICA1
CCBE1	C1orf145	AMT	AMIGO1
CCDC103	C1QA	AMTN	AMIGO2
CCDC14	C1QB	AMY1A	AMIGO3
CCDC170	C1QC	AMY1B	AMMECR1
CCDC22	C1QTNF3-AMACR	AMY1C	AMMECR1L
CCDC28B	C1QTNF5	AMY2A	AMN
CCDC39	C1R	AMY2B	AMN1
CCDC40	C1S	AMZ1	AMOT
CCDC50	C2	AMZ2	AMOTL1
CCDC8	C21orf2	AMZ2P1	AMOTL2
CCDC88C	C21orf59	ANAPC1	AMPD1
CCHCR1	C2orf71	ANAPC10	AMPD2
CCK	C3	ANAPC11	AMPD3
CCKAR	C3AR1	ANAPC13	AMPH
CCKBR	C4A	ANAPC15	AMT
CCL11	C4B	ANAPC16	AMTN
CCL13	C4B_2	ANAPC1P1	AMY1A
CCL17	C4BPA	ANAPC2	AMY1B
CCL2	C4orf26	ANAPC4	AMY1C
CCL22	C4orf29	ANAPC5	AMY2A
CCL26	C5	ANAPC7	AMY2B
CCL3L1	C5AR2	ANG	AMZ1
CCL4L1	C5orf42	ANGEL1	AMZ2
CCL5	C5orf66	ANGEL2	ANAPC1
CCL7	C6	ANGPT1	ANAPC10
CCM2	C6orf136	ANGPT2	ANAPC11
CCNA2	C6orf15	ANGPT4	ANAPC13
CCND1	C6orf47	ANGPTL1	ANAPC15
CCR1	C7	ANGPTL2	ANAPC16
CCR2	C8A	ANGPTL3	ANAPC2
CCR3	C8B	ANGPTL4	ANAPC4
CCR5	C8G	ANGPTL5	ANAPC5
CCR6	C8orf37	ANGPTL6	ANAPC7
CCR7	C9	ANGPTL7	ANG
CCRL2	C9orf117	ANHX	ANGEL1
CCT5	C9orf139	ANK1	ANGEL2
CD109	C9orf37	ANK2	ANGPT1
CD14	C9orf66	ANK3	ANGPT2
CD151	C9orf72	ANKAR	ANGPT4
CD177	CA1	ANKDD1A	ANGPTL1
CD19	CA12	ANKDD1B	ANGPTL2
CD1A	CA2	ANKEF1	ANGPTL3
CD1E	CA4	ANKFN1	ANGPTL4
CD207	CA5A	ANKFY1	ANGPTL5
CD209	CA6	ANKH	ANGPTL6
CD22	CA8	ANKHD1	ANGPTL7
CD226	CABIN1	ANKHD1-EIF4EBP3	ANHX
CD24	CABP2	ANKIB1	ANK1
CD244	CABP4	ANKK1	ANK2
CD247	CACNA1A	ANKLE1	ANK3
CD27	CACNA1C	ANKLE2	ANKAR
CD2AP	CACNA1C-AS1	ANKMY1	ANKDD1A
CD320	CACNA1D	ANKMY2	ANKDD1B
CD36	CACNA1E	ANKRA2	ANKEF1
CD38	CACNA1F	ANKRD1	ANKFN1
CD3D	CACNA1G	ANKRD10	ANKFY1
CD3E	CACNA1H	ANKRD11	ANKH
CD3EAP	CACNA1S	ANKRD12	ANKHD1
CD3G	CACNA2D1	ANKRD13A	ANKHD1-EIF4EBP3
CD4	CACNA2D3	ANKRD13B	ANKIB1
CD40	CACNA2D3-AS1	ANKRD13C	ANKK1
CD40LG	CACNA2D4	ANKRD13D	ANKLE1
CD44	CACNB2	ANKRD16	ANKLE2
CD46	CACNB4	ANKRD17	ANKMY1
CD5	CACNG2	ANKRD18A	ANKMY2
CD55	CADM1	ANKRD18B	ANKRA2
CD58	CALCA	ANKRD19P	ANKRD1
CD59	CALCR	ANKRD2	ANKRD10
CD72	CALHM1	ANKRD20A11P	ANKRD11
CD79A	CALM1	ANKRD20A5P	ANKRD12
CD79B	CALM3	ANKRD22	ANKRD13A
CD81	CALR	ANKRD23	ANKRD13B
CD86	CALR3	ANKRD24	ANKRD13C
CD8A	CALU	ANKRD26	ANKRD13D
CD96	CAMK1	ANKRD26P1	ANKRD16
CDA	CAMK2G	ANKRD27	ANKRD17
CDAN1	CAMK4	ANKRD28	ANKRD18A
CDC42BPB	CAMKK1	ANKRD29	ANKRD18B
CDC6	CAMKK2	ANKRD30A	ANKRD19P
CDC73	CAMP	ANKRD30B	ANKRD2
CDH1	CAMTA1	ANKRD31	ANKRD20A1
CDH12	CANT1	ANKRD32	ANKRD20A2
CDH13	CAPN10	ANKRD33	ANKRD20A3
CDH15	CAPN13	ANKRD33B	ANKRD20A4
CDH23	CAPN3	ANKRD34A	ANKRD20A5P
CDH3	CAPN5	ANKRD34B	ANKRD20A8P
CDH5	CARD11	ANKRD34C	ANKRD22
CDH8	CARD14	ANKRD35	ANKRD23
CDHR1	CARD8	ANKRD36	ANKRD24
CDK11A	CARD9	ANKRD36B	ANKRD26
CDK4	CARS2	ANKRD36BP1	ANKRD26P1
CDK5R1	CARTPT	ANKRD37	ANKRD27
CDK5RAP2	CASC16	ANKRD39	ANKRD28
CDK5RAP3	CASC5	ANKRD40	ANKRD29
CDK7	CASK	ANKRD42	ANKRD30A
CDKL3	CASP1	ANKRD44	ANKRD30B
CDKL5	CASP10	ANKRD45	ANKRD30BL
CDKN1A	CASP12	ANKRD46	ANKRD31
CDKN1B	CASP2	ANKRD49	ANKRD32
CDKN1C	CASP3	ANKRD50	ANKRD33
CDKN2A	CASP5	ANKRD52	ANKRD33B
CDKN2B	CASP8	ANKRD53	ANKRD34A
CDKN2B-AS1	CASP9	ANKRD54	ANKRD34B
CDKN2C	CASQ2	ANKRD55	ANKRD34C
CDON	CASR	ANKRD6	ANKRD35
CDSN	CAST	ANKRD61	ANKRD36
CDT1	CAT	ANKRD62	ANKRD36B
CDY1	CATSPER1	ANKRD62P1-PARP4P3	ANKRD36BP1
CDY2A	CATSPER2	ANKRD63	ANKRD36BP2
CEACAM16	CATSPER3	ANKRD65	ANKRD37
CEBPA	CATSPER4	ANKRD66	ANKRD39
CEBPE	CAV1	ANKRD7	ANKRD40
CEL	CAV3	ANKRD9	ANKRD42
CELSR1	CBFB	ANKS1A	ANKRD44
CENPJ	CBL	ANKS1B	ANKRD45
CEP135	CBLB	ANKS3	ANKRD46
CEP152	CBR1	ANKS4B	ANKRD49
CEP290	CBR3	ANKS6	ANKRD50
CEP41	CBR3-AS1	ANKUB1	ANKRD52
CEP57	CBS	ANKZF1	ANKRD53
CEP63	CBX2	ANLN	ANKRD54
CEP68	CBX4	ANO1	ANKRD55
CEP85L	CC2D1A	ANO10	ANKRD6
CER1	CC2D2A	ANO2	ANKRD60
CERKL	CCBE1	ANO3	ANKRD61
CERS6	CCDC103	ANO4	ANKRD62
CES1	CCDC11	ANO5	ANKRD63
CES2	CCDC114	ANO6	ANKRD65
CETP	CCDC14	ANO7	ANKRD66
CFB	CCDC152	ANO8	ANKRD7
CFC1	CCDC170	ANO9	ANKRD9
CFD	CCDC176	ANP32A	ANKS1A
CFH	CCDC22	ANP32B	ANKS1B
CFHR1	CCDC28B	ANP32C	ANKS3
CFHR2	CCDC39	ANP32D	ANKS4B
CFHR3	CCDC40	ANP32E	ANKS6
CFHR4	CCDC50	ANPEP	ANKUB1
CFHR5	CCDC6	ANTXR1	ANKZF1
CFI	CCDC65	ANTXR2	ANLN
CFL2	CCDC78	ANTXRL	ANO1
CFLAR	CCDC8	ANXA1	ANO10
CFP	CCDC86	ANXA10	ANO2
CFTR	CCDC88C	ANXA11	ANO3
CGA	CCHCR1	ANXA13	ANO4
CGB	CCK	ANXA2	ANO5
CHAT	CCKAR	ANXA2P1	ANO6
CHD1L	CCKBR	ANXA2P2	ANO7
CHD2	CCL11	ANXA2R	ANO8
CHD3	CCL13	ANXA3	ANO9
CHD6	CCL17	ANXA4	ANP32A
CHD7	CCL2	ANXA5	ANP32A-IT1
CHD8	CCL22	ANXA6	ANP32B
CHDH	CCL26	ANXA7	ANP32C
CHEK2	CCL5	ANXA8	ANP32D
CHFR	CCL7	ANXA8L1	ANP32E
CHGA	CCM2	ANXA8L2	ANPEP
CHGB	CCNA2	ANXA9	ANTXR1
CHI3L1	CCND1	AOAH	ANTXR2
CHI3L2	CCNDBP1	AOC1	ANTXRL
CHIA	CCNO	AOC2	ANXA1
CHIT1	CCNT2	AOC3	ANXA10
CHKB	CCPG1	AOC4P	ANXA11
CHL1	CCR1	AOX1	ANXA13
CHM	CCR2	AP1AR	ANXA2
CHMP2B	CCR3	AP1B1	ANXA2P2
CHMP4B	CCR5	AP1G1	ANXA2P3
CHN1	CCR6	AP1G2	ANXA2R
CHRDL1	CCR7	AP1M1	ANXA3
CHRFAM7A	CCRL2	AP1M2	ANXA4
CHRM1	CCT5	AP1S1	ANXA5
CHRM2	CD109	AP1S2	ANXA6
CHRM3	CD14	AP1S3	ANXA7
CHRNA1	CD151	AP2A1	ANXA8
CHRNA2	CD177	AP2A2	ANXA8L1
CHRNA3	CD19	AP2B1	ANXA9
CHRNA4	CD1A	AP2M1	AOAH
CHRNA5	CD1E	AP2S1	AOC1
CHRNA7	CD207	AP3B1	AOC2
CHRNA9	CD209	AP3B2	AOC3
CHRNB1	CD22	AP3D1	AOC4P
CHRNB2	CD226	AP3M1	AOX1
CHRNB4	CD24	AP3M2	AP1AR
CHRND	CD244	AP3S1	AP1B1
CHRNE	CD247	AP3S2	AP1G1
CHRNG	CD27	AP4B1	AP1G2
CHST14	CD27-AS1	AP4B1-AS1	AP1M1
CHST3	CD2AP	AP4E1	AP1M2
CHST6	CD320	AP4M1	AP1S1
CHST8	CD36	AP4S1	AP1S2
CHSY1	CD38	AP5B1	AP1S3
CHUK	CD3D	AP5M1	AP2A1
CIB2	CD3E	AP5S1	AP2A2
CIC	CD3EAP	AP5Z1	AP2B1
CIDEA	CD3G	APAF1	AP2M1
CIDEC	CD4	APBA1	AP2S1
CIITA	CD40	APBA2	AP3B1
CILP	CD40LG	APBA3	AP3B2
CIRH1A	CD44	APBB1	AP3D1
CISD2	CD46	APBB1IP	AP3M1
CISH	CD5	APBB2	AP3M2
CITED2	CD55	APBB3	AP3S1
CKM	CD58	APC	AP3S2
CLCA1	CD59	APC2	AP4B1
CLCA2	CD72	APCDD1	AP4B1-AS1
CLCF1	CD79A	APCDD1L	AP4E1
CLCN1	CD79B	APCS	AP4M1
CLCN2	CD81	APEH	AP4S1
CLCN5	CD81-AS1	APEX1	AP5B1
CLCN7	CD82	APEX2	AP5M1
CLCNKA	CD86	APH1A	AP5S1
CLCNKB	CD8A	APH1B	AP5Z1
CLDN1	CD96	API5	APAF1
CLDN14	CDA	APIP	APBA1
CLDN16	CDAN1	APITD1	APBA2
CLDN19	CDC27	APITD1-CORT	APBA3
CLEC11A	CDC42BPB	APLF	APBB1
CLEC2D	CDC6	APLN	APBB1IP
CLEC4M	CDC73	APLNR	APBB2
CLEC7A	CDCA7L	APLP1	APBB3
CLIC2	CDH1	APLP2	APC
CLK2	CDH12	APMAP	APC2
CLMP	CDH13	APOA1	APCDD1
CLN3	CDH15	APOA1BP	APCDD1L
CLN5	CDH22	APOA2	APCS
CLN6	CDH23	APOA4	APEH
CLN8	CDH3	APOA5	APEX1
CLNK	CDH5	APOB	APEX2
CLOCK	CDH8	APOBEC1	APH1A
CLPS	CDHR1	APOBEC2	APH1B
CLPTM1	CDK11A	APOBEC3A	API5
CLRN1	CDK11B	APOBEC3A_B	APIP
CLSTN2	CDK16	APOBEC3B	APITD1
CLTCL1	CDK18	APOBEC3B-AS1	APITD1-CORT
CLU	CDK19	APOBEC3C	APLF
CLUL1	CDK4	APOBEC3D	APLN
CLYBL	CDK5R1	APOBEC3F	APLNR
CMA1	CDK5RAP2	APOBEC3G	APLP1
CMPK1	CDK5RAP3	APOBEC3H	APLP2
CNBP	CDK7	APOBEC4	APMAP
CNDP1	CDK9	APOBR	APOA1
CNGA1	CDKL3	APOC1	APOA1-AS
CNGA3	CDKL5	APOC1P1	APOA1BP
CNGB1	CDKN1A	APOC2	APOA2
CNGB3	CDKN1B	APOC3	APOA4
CNKSR1	CDKN1C	APOC4	APOA5
CNKSR2	CDKN2A	APOC4-APOC2	APOB
CNNM2	CDKN2B	APOD	APOBEC1
CNNM4	CDKN2B-AS1	APOE	APOBEC2
CNOT3	CDKN2C	APOF	APOBEC3A
CNOT4	CDON	APOH	APOBEC3A_B
CNPY3	CDR1	APOL1	APOBEC3B
CNR1	CDS1	APOL2	APOBEC3B-AS1
CNR2	CDSN	APOL3	APOBEC3C
CNTF	CDT1	APOL4	APOBEC3D
CNTN1	CEACAM16	APOL5	APOBEC3F
CNTN4	CEACAM5	APOL6	APOBEC3G
CNTNAP2	CEBPA	APOLD1	APOBEC3H
CNTNAP4	CEBPE	APOM	APOBEC4
CNTNAP5	CEBPZ	APOO	APOBR
COA5	CECR1	APOOL	APOC1
COCH	CEL	APOPT1	APOC1P1
COG1	CELF4	APP	APOC2
COG4	CELSR1	APPBP2	APOC3
COG5	CEMIP	APPL1	APOC4
COG6	CENPJ	APPL2	APOC4-APOC2
COG7	CENPO	APRT	APOD
COG8	CEP120	APTR	APOE
COL10A1	CEP135	APTX	APOF
COL11A1	CEP152	AQP1	APOH
COL11A2	CEP164	AQP10	APOL1
COL12A1	CEP290	AQP11	APOL2
COL17A1	CEP41	AQP12A	APOL3
COL18A1	CEP57	AQP12B	APOL4
COL1A1	CEP63	AQP2	APOL5
COL1A2	CEP68	AQP3	APOL6
COL25A1	CEP85L	AQP4	APOLD1
COL2A1	CEP89	AQP5	APOM
COL3A1	CER1	AQP6	APOO
COL4A1	CERKL	AQP7	APOOL
COL4A2	CERS1	AQP8	APOOP5
COL4A3	CERS6	AQP9	APOPT1
COL4A4	CES1	AQPEP	APP
COL4A5	CES2	AQR	APPBP2
COL4A6	CETP	AR	APPL1
COL5A1	CFB	ARAF	APPL2
COL5A2	CFD	ARAP1	APRT
COL6A1	CFH	ARAP2	APTR
COL6A2	CFHR1	ARAP3	APTX
COL6A3	CFHR2	ARC	AQP1
COL6A4P2	CFHR3	ARCN1	AQP10
COL6A5	CFHR4	AREG	AQP11
COL7A1	CFHR5	AREL1	AQP12A
COL8A2	CFI	ARF1	AQP12B
COL9A1	CFL2	ARF3	AQP2
COL9A2	CFLAR	ARF4	AQP3
COL9A3	CFLAR-AS1	ARF5	AQP4
COLEC11	CFP	ARF6	AQP5
COLQ	CFTR	ARFGAP1	AQP6
COMMD1	CGA	ARFGAP2	AQP7
COMP	CGREF1	ARFGAP3	AQP8
COMT	CHAT	ARFGEF1	AQP9
COQ2	CHD1L	ARFGEF2	AQPEP
COQ4	CHD2	ARFIP1	AQR
COQ5	CHD3	ARFIP2	AR
COQ6	CHD6	ARFRP1	ARAF
COQ9	CHD7	ARG1	ARAP1
CORIN	CHD8	ARG2	ARAP2
CORO1A	CHDH	ARGFX	ARAP3
COX10	CHEK1	ARGLU1	ARC
COX14	CHEK2	ARHGAP1	ARCN1
COX15	CHFR	ARHGAP10	AREG
COX4I1	CHGA	ARHGAP11A	AREL1
COX4I2	CHGB	ARHGAP11B	ARF1
COX6B1	CHI3L1	ARHGAP12	ARF3
COX7A1	CHI3L2	ARHGAP15	ARF4
COX7A2	CHIA	ARHGAP17	ARF5
CP	CHIT1	ARHGAP18	ARF6
CPA4	CHKB	ARHGAP19	ARFGAP1
CPA6	CHKB-CPT1B	ARHGAP19-SLIT1	ARFGAP2
CPB2	CHL1	ARHGAP20	ARFGAP3
CPE	CHL1-AS1	ARHGAP21	ARFGEF1
CPLX2	CHM	ARHGAP22	ARFGEF2
CPN1	CHMP1A	ARHGAP23	ARFGEF3
CPOX	CHMP2B	ARHGAP24	ARFIP1
CPS1	CHMP4B	ARHGAP25	ARFIP2
CPT1A	CHN1	ARHGAP26	ARFRP1
CPT1B	CHPT1	ARHGAP27	ARG1
CPT2	CHRDL1	ARHGAP28	ARG2
CPZ	CHRM1	ARHGAP29	ARGFX
CR1	CHRM2	ARHGAP30	ARGFXP2
CR2	CHRM3	ARHGAP31	ARGLU1
CRADD	CHRNA1	ARHGAP32	ARHGAP1
CRB1	CHRNA2	ARHGAP33	ARHGAP10
CRBN	CHRNA3	ARHGAP35	ARHGAP11A
CREB1	CHRNA4	ARHGAP36	ARHGAP11B
CREB3L3	CHRNA5	ARHGAP39	ARHGAP12
CREBBP	CHRNA7	ARHGAP4	ARHGAP15
CRELD1	CHRNA9	ARHGAP40	ARHGAP17
CRH	CHRNB1	ARHGAP42	ARHGAP18
CRHR1	CHRNB2	ARHGAP44	ARHGAP19
CRISP2	CHRNB4	ARHGAP5	ARHGAP19-SLIT1
CRK	CHRND	ARHGAP6	ARHGAP20
CRKL	CHRNE	ARHGAP8	ARHGAP21
CRLF1	CHRNG	ARHGAP9	ARHGAP22
CRP	CHST1	ARHGDIA	ARHGAP23
CRTAP	CHST10	ARHGDIB	ARHGAP24
CRX	CHST11	ARHGDIG	ARHGAP25
CRYAA	CHST12	ARHGEF1	ARHGAP26
CRYAB	CHST13	ARHGEF10	ARHGAP27
CRYBA1	CHST14	ARHGEF10L	ARHGAP28
CRYBA4	CHST2	ARHGEF11	ARHGAP29
CRYBB1	CHST3	ARHGEF12	ARHGAP30
CRYBB2	CHST5	ARHGEF15	ARHGAP31
CRYBB3	CHST6	ARHGEF16	ARHGAP32
CRYGB	CHST7	ARHGEF17	ARHGAP33
CRYGC	CHST8	ARHGEF18	ARHGAP35
CRYGD	CHST9	ARHGEF19	ARHGAP36
CRYGEP	CHSY1	ARHGEF2	ARHGAP39
CRYGS	CHUK	ARHGEF25	ARHGAP4
CRYM	CIAPIN1	ARHGEF26	ARHGAP40
CSAG1	CIB2	ARHGEF28	ARHGAP42
CSDE1	CIC	ARHGEF3	ARHGAP44
CSF1	CIDEA	ARHGEF33	ARHGAP5
CSF1R	CIDEC	ARHGEF34P	ARHGAP6
CSF2	CIITA	ARHGEF35	ARHGAP8
CSF2RA	CILP	ARHGEF37	ARHGAP9
CSF2RB	CIRH1A	ARHGEF38	ARHGDIA
CSF3R	CISD2	ARHGEF39	ARHGDIB
CSGALNACT1	CISH	ARHGEF4	ARHGDIG
CSH1	CITED2	ARHGEF40	ARHGEF1
CSMD1	CIZ1	ARHGEF5	ARHGEF10
CSMD3	CKM	ARHGEF6	ARHGEF10L
CSNK1A1L	CLCA1	ARHGEF7	ARHGEF11
CSNK1D	CLCA2	ARHGEF9	ARHGEF12
CSNK1E	CLCC1	ARID1A	ARHGEF15
CSNK2A2	CLCF1	ARID1B	ARHGEF16
CSNK2A3	CLCN1	ARID2	ARHGEF17
CSRP3	CLCN2	ARID3A	ARHGEF18
CST3	CLCN4	ARID3B	ARHGEF19
CSTA	CLCN5	ARID3C	ARHGEF2
CSTB	CLCN7	ARID4A	ARHGEF25
CSTF2T	CLCNKA	ARID4B	ARHGEF26
CTC1	CLCNKB	ARID5A	ARHGEF28
CTDP1	CLDN1	ARID5B	ARHGEF3
CTF1	CLDN14	ARIH1	ARHGEF33
CTGF	CLDN16	ARIH2	ARHGEF34P
CTH	CLDN19	ARIH2OS	ARHGEF35
CTHRC1	CLDN23	ARL1	ARHGEF37
CTLA4	CLEC11A	ARL10	ARHGEF38
CTNNA3	CLEC2D	ARL11	ARHGEF39
CTNNB1	CLEC4M	ARL13A	ARHGEF4
CTNND1	CLEC7A	ARL13B	ARHGEF40
CTNS	CLIC2	ARL14	ARHGEF5
CTRC	CLIP1	ARL14EP	ARHGEF6
CTSA	CLK2	ARL14EPL	ARHGEF7
CTSB	CLMP	ARL15	ARHGEF9
CTSC	CLN3	ARL16	ARID1A
CTSD	CLN5	ARL17A	ARID1B
CTSG	CLN6	ARL17B	ARID2
CTSK	CLN8	ARL2	ARID3A
CTSZ	CLNK	ARL2BP	ARID3B
CTTNBP2	CLOCK	ARL2-SNX15	ARID3C
CUBN	CLPP	ARL3	ARID4A
CUL3	CLPS	ARL4A	ARID4B
CUL4B	CLPTM1	ARL4C	ARID5A
CUL5	CLRN1	ARL4D	ARID5B
CUL7	CLRN1-AS1	ARL5A	ARIH1
CX3CR1	CLSTN2	ARL5B	ARIH2
CXCL10	CLTCL1	ARL5C	ARIH2OS
CXCL11	CLU	ARL6	ARL1
CXCL12	CLUL1	ARL6IP1	ARL10
CXCL16	CLYBL	ARL6IP4	ARL11
CXCL5	CMA1	ARL6IP5	ARL13A
CXCR1	CMPK1	ARL6IP6	ARL13B
CXCR3	CNBP	ARL8A	ARL14
CXCR4	CNDP1	ARL8B	ARL14EP
CYB5A	CNGA1	ARL9	ARL14EPL
CYB5R3	CNGA3	ARMC1	ARL15
CYBA	CNGB1	ARMC10	ARL16
CYBB	CNGB3	ARMC12	ARL17A
CYBRD1	CNKSR1	ARMC2	ARL17B
CYCS	CNKSR2	ARMC3	ARL2
CYLD	CNNM2	ARMC4	ARL2BP
CYP11A1	CNNM4	ARMC5	ARL2-SNX15
CYP11B1	CNOT3	ARMC6	ARL3
CYP11B2	CNOT4	ARMC7	ARL4A
CYP17A1	CNPY3	ARMC8	ARL4C
CYP19A1	CNR1	ARMC9	ARL4D
CYP1A1	CNR2	ARMCX1	ARL5A
CYP1A2	CNTF	ARMCX2	ARL5B
CYP1B1	CNTN1	ARMCX3	ARL5C
CYP21A2	CNTN4	ARMCX4	ARL6
CYP24A1	CNTN6	ARMCX5	ARL6IP1
CYP26A1	CNTNAP2	ARMCX5-GPRASP2	ARL6IP4
CYP26B1	CNTNAP4	ARMCX6	ARL6IP5
CYP27A1	CNTNAP5	ARMS2	ARL6IP6
CYP27B1	COA5	ARNT	ARL8A
CYP2A13	COASY	ARNT2	ARL8B
CYP2A6	COCH	ARNTL	ARL9
CYP2B6	COG1	ARNTL2	ARMC1
CYP2C18	COG4	ARNTL2-AS1	ARMC10
CYP2C19	COG5	ARPC1A	ARMC12
CYP2C8	COG6	ARPC1B	ARMC2
CYP2C9	COG7	ARPC2	ARMC3
CYP2D6	COG8	ARPC3	ARMC4
CYP2D7P1	COL10A1	ARPC4	ARMC5
CYP2E1	COL11A1	ARPC4-TTLL3	ARMC6
CYP2F1	COL11A2	ARPC5	ARMC7
CYP2G1P	COL12A1	ARPC5L	ARMC8
CYP2J2	COL14A1	ARPP19	ARMC9
CYP2R1	COL17A1	ARPP21	ARMCX1
CYP2W1	COL18A1	ARR3	ARMCX2
CYP3A4	COL1A1	ARRB1	ARMCX3
CYP3A43	COL1A2	ARRB2	ARMCX4
CYP3A5	COL25A1	ARRDC1	ARMCX5
CYP3A5P1	COL2A1	ARRDC2	ARMCX5-GPRASP2
CYP3A7	COL3A1	ARRDC3	ARMCX6
CYP46A1	COL4A1	ARRDC4	ARMS2
CYP4A11	COL4A2	ARRDC5	ARNT
CYP4A22	COL4A2-AS1	ARSA	ARNT2
CYP4B1	COL4A3	ARSB	ARNTL
CYP4F12	COL4A3BP	ARSD	ARNTL2
CYP4F2	COL4A4	ARSE	ARNTL2-AS1
CYP4F22	COL4A5	ARSF	ARPC1A
CYP4F3	COL4A6	ARSG	ARPC1B
CYP4V2	COL5A1	ARSH	ARPC2
CYP7A1	COL5A2	ARSI	ARPC3
CYP7B1	COL6A1	ARSJ	ARPC4
CYSLTR1	COL6A2	ARSK	ARPC4-TTLL3
CYSLTR2	COL6A3	ART1	ARPC5
D2HGDH	COL6A4P2	ART3	ARPC5L
DAG1	COL6A5	ART4	ARPIN
DAO	COL7A1	ART5	ARPP19
DAOA	COL8A2	ARTN	ARPP21
DAPK1	COL9A1	ARV1	ARR3
DARC	COL9A2	ARVCF	ARRB1
DARS2	COL9A3	ARX	ARRB2
DAZ1	COLEC11	AS3MT	ARRDC1
DAZ2	COLQ	ASAH1	ARRDC1-AS1
DAZ3	COMMD1	ASAH2	ARRDC2
DAZL	COMMD3-BMI1	ASAH2B	ARRDC3
DBH	COMP	ASAP1	ARRDC4
DBI	COMT	ASAP2	ARRDC5
DBT	COPA	ASAP3	ARSA
DCAF13	COQ2	ASB1	ARSB
DCAF17	COQ3	ASB10	ARSD
DCC	COQ4	ASB11	ARSE
DCDC2	COQ5	ASB12	ARSF
DCK	COQ6	ASB13	ARSG
DCLK1	COQ7	ASB14	ARSH
DCLRE1C	COQ9	ASB15	ARSI
DCN	CORIN	ASB16	ARSJ
DCP1B	CORO1A	ASB16-AS1	ARSK
DCTD	COX10	ASB17	ART1
DCTN1	COX10-AS1	ASB18	ART3
DCX	COX14	ASB2	ART4
DCXR	COX15	ASB3	ART5
DDAH1	COX20	ASB4	ARTN
DDAH2	COX4I1	ASB5	ARV1
